mtime,seat_L1,seat_L2,seat_L3,seat_L4,L1,L2,L3,L4,L5,L6,L7,L8,legrest_angle,recline_angle,legrest_voltage,legrest_ext_voltage
2021-03-03-16-00-22-241,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-272,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-304,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-319,869,612,1031,158,0,1413,0,777,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-22-350,869,612,1031,158,0,1413,0,777,0,0,0,0,1502,2672,15,12
2021-03-03-16-00-22-382,318,323,486,100,0,327,0,1,0,0,0,0,1500,2671,11,10
2021-03-03-16-00-22-413,318,323,486,100,0,327,0,1,0,0,0,0,1499,2671,11,10
2021-03-03-16-00-22-429,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-460,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-22-475,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-507,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,14
2021-03-03-16-00-22-538,317,323,486,100,0,325,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-569,317,323,486,100,0,325,0,0,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-22-585,317,323,486,100,0,325,0,0,0,0,0,0,1502,2673,13,16
2021-03-03-16-00-22-616,317,323,486,100,0,325,0,0,0,0,0,0,1501,2672,10,12
2021-03-03-16-00-22-632,317,323,486,100,0,325,0,0,0,0,0,0,1504,2672,9,12
2021-03-03-16-00-22-663,317,323,486,100,0,325,0,0,0,0,0,0,1500,2672,10,10
2021-03-03-16-00-22-678,317,323,486,100,0,325,0,0,0,0,0,0,1504,2671,11,10
2021-03-03-16-00-22-710,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-22-741,318,323,485,100,0,327,0,1,0,0,0,0,1502,2673,11,10
2021-03-03-16-00-22-772,318,323,485,100,0,327,0,1,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-22-788,318,323,485,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-22-819,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-22-850,318,323,485,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-22-866,317,323,485,100,0,326,0,0,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-22-897,317,323,485,100,0,326,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-22-928,317,323,485,100,0,326,0,0,0,0,0,0,1502,2674,11,14
2021-03-03-16-00-22-944,317,323,485,100,0,326,0,0,0,0,0,0,1502,2672,11,10
2021-03-03-16-00-22-975,317,323,485,100,0,326,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-007,317,323,485,100,0,326,0,0,0,0,0,0,1500,2673,11,12
2021-03-03-16-00-23-022,318,323,485,100,0,326,0,0,0,0,0,0,1504,2673,14,12
2021-03-03-16-00-23-053,318,323,485,100,0,326,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-23-085,318,323,485,100,0,326,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-100,318,323,485,100,0,326,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-23-131,318,323,485,100,0,326,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-23-163,318,323,485,100,0,326,0,0,0,0,0,0,1502,2673,14,12
2021-03-03-16-00-23-178,318,323,485,100,0,327,0,0,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-23-210,318,323,485,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-241,318,323,485,100,0,327,0,0,0,0,0,0,1501,2673,11,11
2021-03-03-16-00-23-256,318,323,485,100,0,327,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-23-288,318,323,485,100,0,327,0,0,0,0,0,0,1500,2672,11,10
2021-03-03-16-00-23-319,318,323,485,100,0,327,0,0,0,0,0,0,1503,2673,14,12
2021-03-03-16-00-23-335,318,323,486,100,0,326,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-23-366,318,323,486,100,0,326,0,1,0,0,0,0,1500,2673,11,12
2021-03-03-16-00-23-397,318,323,486,100,0,326,0,1,0,0,0,0,1502,2672,13,12
2021-03-03-16-00-23-413,318,323,486,100,0,326,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-23-444,318,323,486,100,0,326,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-23-475,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-491,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-23-522,318,323,486,100,0,327,0,1,0,0,0,0,1502,2670,11,10
2021-03-03-16-00-23-553,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-569,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-23-600,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-23-631,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-23-647,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,10,12
2021-03-03-16-00-23-678,318,323,486,100,0,327,0,1,0,0,0,0,1504,2674,13,14
2021-03-03-16-00-23-709,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-23-725,318,323,486,100,0,327,0,1,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-23-756,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-23-788,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-803,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-23-834,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-23-866,318,323,486,100,0,327,0,1,0,0,0,0,1500,2673,11,10
2021-03-03-16-00-23-881,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-23-913,318,323,486,100,0,327,0,1,0,0,0,0,1502,2674,13,14
2021-03-03-16-00-23-944,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-959,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-23-991,318,323,486,100,0,326,0,1,0,0,0,0,1503,2673,16,12
2021-03-03-16-00-24-022,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-037,318,323,486,100,0,326,0,1,0,0,0,0,1501,2670,11,10
2021-03-03-16-00-24-069,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-100,318,323,486,100,0,326,0,1,0,0,0,0,1500,2672,10,10
2021-03-03-16-00-24-116,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-147,318,323,485,100,0,327,0,0,0,0,0,0,1499,2673,10,12
2021-03-03-16-00-24-178,318,323,485,100,0,327,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-24-194,318,323,485,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-225,318,323,485,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-256,318,323,485,100,0,327,0,0,0,0,0,0,1502,2672,11,12
2021-03-03-16-00-24-272,318,323,485,100,0,327,0,0,0,0,0,0,1502,2672,11,12
2021-03-03-16-00-24-303,318,323,485,100,0,327,0,0,0,0,0,0,1502,2671,13,12
2021-03-03-16-00-24-334,318,323,485,100,0,327,0,0,0,0,0,0,1502,2672,11,11
2021-03-03-16-00-24-350,318,323,485,100,0,327,0,0,0,0,0,0,1502,2674,13,14
2021-03-03-16-00-24-381,318,323,485,100,0,327,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-24-412,318,323,485,100,0,327,0,0,0,0,0,0,1500,2671,11,12
2021-03-03-16-00-24-428,318,323,485,100,0,327,0,0,0,0,0,0,1502,2673,13,16
2021-03-03-16-00-24-459,318,323,486,100,0,326,0,0,0,0,0,0,1502,2670,11,10
2021-03-03-16-00-24-491,318,323,486,100,0,326,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-506,318,323,486,100,0,326,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-537,318,323,486,100,0,326,0,0,0,0,0,0,1501,2673,10,12
2021-03-03-16-00-24-569,318,323,486,100,0,326,0,0,0,0,0,0,1502,2673,10,10
2021-03-03-16-00-24-584,318,323,486,100,0,326,0,0,0,0,0,0,1502,2673,13,12
2021-03-03-16-00-24-616,318,323,485,100,0,326,0,0,0,0,0,0,1502,2671,10,10
2021-03-03-16-00-24-647,318,323,485,100,0,326,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-24-662,318,323,485,100,0,326,0,0,0,0,0,0,1501,2672,11,12
2021-03-03-16-00-24-694,318,323,485,100,0,326,0,0,0,0,0,0,1504,2673,14,12
2021-03-03-16-00-24-725,318,323,485,100,0,326,0,0,0,0,0,0,1502,2672,11,10
2021-03-03-16-00-24-740,318,323,485,100,0,326,0,0,0,0,0,0,1501,2672,10,12
2021-03-03-16-00-24-772,318,323,485,100,0,326,0,1,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-24-803,318,323,485,100,0,326,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-24-819,318,323,485,100,0,326,0,1,0,0,0,0,1500,2672,10,10
2021-03-03-16-00-24-850,318,323,485,100,0,326,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-24-881,318,323,485,100,0,326,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-24-897,318,323,485,100,0,326,0,1,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-24-928,318,323,485,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-24-959,318,323,486,100,0,327,0,1,0,0,0,0,1500,2671,11,10
2021-03-03-16-00-24-990,318,323,486,100,0,327,0,1,0,0,0,0,1501,2672,11,12
2021-03-03-16-00-25-006,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-037,318,323,486,100,0,327,0,1,0,0,0,0,1502,2672,11,12
2021-03-03-16-00-25-053,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-084,318,323,486,100,0,327,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-25-115,318,323,485,100,0,327,0,1,0,0,0,0,1504,2672,13,12
2021-03-03-16-00-25-147,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-162,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-194,318,323,485,100,0,327,0,1,0,0,0,0,1500,2671,11,10
2021-03-03-16-00-25-225,318,323,485,100,0,327,0,1,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-25-240,318,323,485,100,0,327,0,1,0,0,0,0,1501,2673,10,12
2021-03-03-16-00-25-272,318,323,486,100,0,325,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-303,318,323,486,100,0,325,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-318,318,323,486,100,0,325,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-350,318,323,486,100,0,325,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-381,318,323,486,100,0,325,0,1,0,0,0,0,1502,2673,13,12
2021-03-03-16-00-25-412,318,323,486,100,0,325,0,1,0,0,0,0,1502,2672,11,10
2021-03-03-16-00-25-428,318,323,529,100,0,326,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-25-459,318,323,529,100,0,326,0,1,0,0,0,0,1502,2674,13,14
2021-03-03-16-00-25-475,318,323,529,100,0,326,0,1,0,0,0,0,1500,2672,11,10
2021-03-03-16-00-25-506,318,323,529,100,0,326,0,1,0,0,0,0,1500,2673,11,10
2021-03-03-16-00-25-522,318,323,529,100,0,326,0,1,0,0,0,0,1502,2673,13,12
2021-03-03-16-00-25-553,318,323,529,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-584,318,323,52,100,0,327,0,1,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-25-615,318,323,52,100,0,327,0,1,0,0,0,0,1502,2671,11,12
2021-03-03-16-00-25-631,318,323,52,100,0,327,0,1,0,0,0,0,1501,2671,10,12
2021-03-03-16-00-25-662,318,323,52,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-678,318,323,52,100,0,327,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-25-709,318,323,52,100,0,327,0,1,0,0,0,0,1500,2672,11,10
2021-03-03-16-00-25-740,318,323,5,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-771,318,323,5,100,0,327,0,0,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-25-787,318,323,5,100,0,327,0,0,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-25-818,318,323,5,100,0,327,0,0,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-25-834,318,323,5,100,0,327,0,0,0,0,0,0,1499,2671,10,10
2021-03-03-16-00-25-865,318,323,5,100,0,327,0,0,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-25-896,318,323,486,100,0,325,0,0,0,0,0,0,1502,2671,10,10
2021-03-03-16-00-25-928,318,323,486,100,0,325,0,0,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-25-943,318,323,486,100,0,325,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-25-975,318,323,486,100,0,325,0,0,0,0,0,0,1502,2672,11,12
2021-03-03-16-00-25-990,318,323,486,100,0,325,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-26-021,318,323,486,100,0,325,0,0,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-26-053,318,323,486,100,0,325,0,0,0,0,0,0,1502,2675,13,14
2021-03-03-16-00-26-068,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-100,318,323,486,100,0,326,0,1,0,0,0,0,1501,2672,11,12
2021-03-03-16-00-26-131,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-146,318,323,486,100,0,326,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-26-178,318,323,486,100,0,326,0,1,0,0,0,0,1502,2675,11,14
2021-03-03-16-00-26-209,318,323,486,100,0,326,0,1,0,0,0,0,1503,2672,13,12
2021-03-03-16-00-26-225,318,323,486,100,0,327,0,1,0,0,0,0,1500,2673,10,10
2021-03-03-16-00-26-256,318,323,486,100,0,327,0,1,0,0,0,0,1502,2673,11,10
2021-03-03-16-00-26-287,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,14
2021-03-03-16-00-26-303,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-26-334,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-26-365,318,323,486,100,0,327,0,1,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-26-381,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,11,8
2021-03-03-16-00-26-412,318,323,485,100,0,327,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-26-443,318,323,485,100,0,327,0,1,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-26-459,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-490,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-521,318,323,485,100,0,327,0,1,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-26-537,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-568,318,323,486,100,0,326,0,12,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-26-599,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-631,318,323,486,100,0,326,0,12,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-26-646,318,323,486,100,0,326,0,12,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-26-678,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-26-709,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-26-724,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-756,318,323,486,100,0,326,0,12,0,0,0,0,1503,2671,14,12
2021-03-03-16-00-26-787,318,323,486,100,0,326,0,12,0,0,0,0,1501,2670,11,10
2021-03-03-16-00-26-803,318,323,486,100,0,326,0,12,0,0,0,0,1502,2670,11,10
2021-03-03-16-00-26-834,318,323,486,100,0,326,0,12,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-26-849,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-881,318,323,486,100,0,326,0,12,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-26-912,318,323,486,100,0,326,0,12,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-26-943,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-959,318,323,486,100,0,326,0,12,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-26-990,318,323,486,100,0,326,0,12,0,0,0,0,1502,2673,13,16
2021-03-03-16-00-27-021,317,323,486,100,0,326,0,0,0,0,0,0,1501,2672,11,12
2021-03-03-16-00-27-052,317,323,486,100,0,326,0,0,0,0,0,0,1502,2673,14,14
2021-03-03-16-00-27-068,317,323,486,100,0,326,0,0,0,0,0,0,1502,2674,13,14
2021-03-03-16-00-27-099,317,323,486,100,0,326,0,0,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-27-115,317,323,486,100,0,326,0,0,0,0,0,0,1499,2672,10,10
2021-03-03-16-00-27-146,317,323,486,100,0,326,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-177,319,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-209,319,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-224,319,323,486,100,0,326,0,1,0,0,0,0,1502,2673,13,14
2021-03-03-16-00-27-256,319,323,486,100,0,326,0,1,0,0,0,0,1502,2672,11,10
2021-03-03-16-00-27-271,319,323,486,100,0,326,0,1,0,0,0,0,1502,2672,11,12
2021-03-03-16-00-27-302,319,323,486,100,0,326,0,1,0,0,0,0,1501,2671,10,12
2021-03-03-16-00-27-318,319,323,486,100,0,326,0,1,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-27-349,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-27-381,318,323,486,100,0,326,0,1,0,0,0,0,1503,2673,13,16
2021-03-03-16-00-27-396,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-427,318,323,486,100,0,326,0,1,0,0,0,0,1503,2674,11,14
2021-03-03-16-00-27-459,318,323,486,100,0,326,0,1,0,0,0,0,1501,2674,11,12
2021-03-03-16-00-27-474,318,323,486,100,0,326,0,1,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-27-505,318,323,485,100,0,326,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-27-537,318,323,485,100,0,326,0,1,0,0,0,0,1502,2673,13,14
2021-03-03-16-00-27-552,318,323,485,100,0,326,0,1,0,0,0,0,1500,2673,11,12
2021-03-03-16-00-27-584,318,323,485,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-615,318,323,485,100,0,326,0,1,0,0,0,0,1502,2673,11,14
2021-03-03-16-00-27-630,318,323,485,100,0,326,0,1,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-27-662,318,323,486,100,0,326,0,1,0,0,0,0,1502,2674,13,16
2021-03-03-16-00-27-693,318,323,486,100,0,326,0,1,0,0,0,0,1501,2673,10,10
2021-03-03-16-00-27-724,318,323,486,100,0,326,0,1,0,0,0,0,1500,2673,11,10
2021-03-03-16-00-27-740,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-27-771,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-787,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-818,318,323,486,100,0,326,0,1,0,0,0,0,1501,2670,11,10
2021-03-03-16-00-27-849,318,323,486,100,0,326,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-27-865,318,323,486,100,0,326,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-27-896,318,323,486,100,0,326,0,1,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-27-927,318,323,486,100,0,326,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-27-958,318,323,486,100,0,326,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-27-974,318,323,486,100,0,327,0,0,0,0,0,0,1500,2671,10,8
2021-03-03-16-00-28-005,318,323,486,100,0,327,0,0,0,0,0,0,1500,2672,11,12
2021-03-03-16-00-28-037,318,323,486,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-052,318,323,486,100,0,327,0,0,0,0,0,0,1502,2671,13,12
2021-03-03-16-00-28-083,318,323,486,100,0,327,0,0,0,0,0,0,1500,2671,10,10
2021-03-03-16-00-28-115,318,323,486,100,0,327,0,0,0,0,0,0,1502,2674,11,14
2021-03-03-16-00-28-130,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-162,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-28-193,318,323,486,100,0,327,0,1,0,0,0,0,1502,2674,13,16
2021-03-03-16-00-28-208,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-240,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-271,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-287,318,323,486,100,0,326,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-28-318,318,323,486,100,0,326,0,1,0,0,0,0,1500,2671,11,10
2021-03-03-16-00-28-349,318,323,486,100,0,326,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-28-365,318,323,486,100,0,326,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-28-396,318,323,486,100,0,326,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-28-427,318,323,486,100,0,326,0,1,0,0,0,0,1502,2673,13,12
2021-03-03-16-00-28-443,318,323,486,100,0,326,0,1,0,0,0,0,1500,2673,11,12
2021-03-03-16-00-28-474,318,323,486,100,0,326,0,0,0,0,0,0,1501,2672,11,12
2021-03-03-16-00-28-505,318,323,486,100,0,326,0,0,0,0,0,0,1501,2674,13,14
2021-03-03-16-00-28-521,318,323,486,100,0,326,0,0,0,0,0,0,1501,2671,11,12
2021-03-03-16-00-28-552,318,323,486,100,0,326,0,0,0,0,0,0,1501,2672,11,12
2021-03-03-16-00-28-583,318,323,486,100,0,326,0,0,0,0,0,0,1501,2673,10,10
2021-03-03-16-00-28-599,318,323,486,100,0,326,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-28-630,318,323,486,100,0,327,0,1,0,0,0,0,1502,2673,13,12
2021-03-03-16-00-28-661,318,323,486,100,0,327,0,1,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-28-677,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-28-708,318,323,486,100,0,327,0,1,0,0,0,0,1499,2671,10,10
2021-03-03-16-00-28-740,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-755,318,323,486,100,0,327,0,1,0,0,0,0,1501,2670,11,10
2021-03-03-16-00-28-786,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-28-818,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,8
2021-03-03-16-00-28-833,318,323,486,100,0,327,0,1,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-28-865,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-28-896,318,323,486,100,0,327,0,1,0,0,0,0,1501,2672,11,16
2021-03-03-16-00-28-911,318,323,486,100,0,327,0,1,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-28-943,318,323,486,100,0,327,0,1,0,0,0,0,1500,2673,10,12
2021-03-03-16-00-28-974,318,323,486,100,0,327,0,1,0,0,0,0,1503,2673,14,12
2021-03-03-16-00-28-990,318,323,486,100,0,327,0,1,0,0,0,0,1503,2674,13,16
2021-03-03-16-00-29-021,318,323,486,100,0,327,0,1,0,0,0,0,1503,2672,14,12
2021-03-03-16-00-29-052,318,323,486,100,0,327,0,1,0,0,0,0,1502,2671,11,10
2021-03-03-16-00-29-083,318,323,486,100,0,327,0,1,0,0,0,0,1500,2671,10,12
2021-03-03-16-00-29-099,318,323,485,100,0,326,0,0,0,0,0,0,1501,2672,10,10
2021-03-03-16-00-29-130,318,323,485,100,0,326,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-29-146,318,323,485,100,0,326,0,0,0,0,0,0,1501,2671,10,10
2021-03-03-16-00-29-177,318,323,485,100,0,326,0,0,0,0,0,0,1502,2673,13,14
2021-03-03-16-00-29-208,318,323,485,100,0,326,0,0,0,0,0,0,1500,2673,10,10
2021-03-03-16-00-29-224,318,323,485,100,0,326,0,0,0,0,0,0,1502,2672,11,10
2021-03-03-16-00-29-255,318,323,486,100,0,327,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-29-286,318,323,486,100,0,327,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-29-302,318,323,486,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-29-333,318,323,486,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-29-364,318,323,486,100,0,327,0,0,0,0,0,0,1501,2673,11,10
2021-03-03-16-00-29-380,318,323,486,100,0,327,0,0,0,0,0,0,1501,2671,11,10
2021-03-03-16-00-29-411,318,323,486,100,0,327,0,0,0,0,0,0,1501,2673,10,10
2021-03-03-16-00-29-443,318,323,486,100,0,327,0,0,0,0,0,0,1502,2673,10,10
2021-03-03-16-00-29-458,318,323,486,100,0,327,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-29-489,318,323,486,100,0,327,0,0,0,0,0,0,1501,2673,11,12
2021-03-03-16-00-29-521,318,323,486,100,0,327,0,0,0,0,0,0,1502,2673,11,12
2021-03-03-16-00-29-536,318,323,486,100,0,327,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-29-568,318,323,486,100,0,327,0,0,0,0,0,0,1501,2672,11,10
2021-03-03-16-00-29-599,318,323,485,100,0,327,0,1,0,0,0,0,1500,2671,11,10
