COPx,COPy
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
274.662100456621,75.53972602739726
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.88403494837172,113.3756949960286
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
238.69444444444446,113.57619047619048
