Seat L1,Seat L2,Seat L3,Seat L4,sum
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
271.0,405.0,434.0,155.0,1265.0
